Asset Tag,Model,Serial,Username,Active Directory Last Logon,Success
2FCD0M2,Optiplex 7050,2FCD0M2,rew08003,9/25/2019 4:55:52 PM,Success
W57294,Optiplex 9010,GYJ0ZV1,slr02009,2/4/2020 2:04:18 PM,Success
C05795,Macbook Pro A1707,C02VF05NHTD6,jaa02007,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D02797,Optiplex 7040,1ZLCXG2,,2/5/2020 4:39:06 AM,Success
D03944,Optiplex 7050,4BT7JL2,rja02004,10/8/2019 11:01:13 PM,Success
D02817,Latitude 7470,G07XRF2,,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D02803,Optiplex 7040,286DXG2,rlj02001,10/28/2019 3:37:17 AM,Success
D02806,Optiplex 7040,286QXG2,kaa02003,2/4/2020 8:45:47 AM,Success
D03941,Optiplex 7050,4BT4JL2,msn13004,10/8/2019 11:30:08 PM,Success
D03938,Optiplex 7050,4BS8JL2,leb02011,10/8/2019 7:42:46 PM,Success
D04227,Latitude 7480,JKCQHM2,,2/11/2020 1:52:52 AM,Success
D01332,Latitude 7470,39H7Q72,wgd02001,2/10/2020 1:17:10 PM,Success
C07861,MacBook Pro A1989,C02XC1BWJHD4,krb11010,2/10/2020 3:28:45 PM,Success
C06062,Macbook Pro A1398,C02VR01MG8WL,,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D04214,Optiplex 7050,2Z87CM2,jwc03001,10/7/2019 3:16:16 PM,Success
D02799,Optiplex 7040,285PXG2,vtn08001,1/21/2020 2:16:44 AM,Success
D04216,Optiplex 7050,2Z89CM2,kec14023,10/9/2019 1:01:07 AM,Success
D01301,Optiplex 7040,6C02GB2,cac02019,2/9/2020 8:14:16 PM,Success
W61262,Macbook Pro A1398,C02MK1ZVFD58,drc12003,2/8/2020 11:41:57 AM,Success
C03470,Macbook Pro A1707,C02T6G7ZGTFL,dac04010,2/7/2020 7:38:33 AM,Success
D02810,Optiplex 7040,287FXG2,,4/25/2019 8:03:06 AM,Success
D01315,Optiplex 7040,6C1WFB2,chc10004,2/9/2020 6:30:19 AM,Success
C03172,Macbook Pro A1707,C02SY151GTDY,pbd10002,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D03925,Latitude 7480,D5DMMH2,mcd04005,2/10/2020 6:56:01 PM,Success
D02805,Optiplex 7040,286PXG2,,1/23/2020 3:16:18 AM,Success
D02815,Optiplex 7040,HXDXRF2,cad11019,1/28/2020 11:08:27 PM,Success
D04217,Optiplex 7050,2Z8BCM2,rwd02002,10/5/2019 2:05:01 AM,Success
D01313,Optiplex 7040,6C14GB2,llm02003,12/30/2019 1:37:26 PM,Success
D02857,Latitude 7470,194MTF2,dhe02001,2/10/2020 1:46:37 PM,Success
D01312,Optiplex 7040,6C13GB2,dhe02001,1/28/2020 2:59:38 AM,Success
D03936,Latitude 7480,1KHNMH2,dzf02001,2/10/2020 5:41:30 PM,Success
D04213,Optiplex 7050,2Z7BCM2,vcf98001,7/12/2019 3:05:59 AM,Success
D01322,Latitude 7470,FTL8Q72,alf02013,2/4/2020 1:17:13 PM,Success
D01306,Optiplex 7040,6C0XFB2,vef12001,1/29/2020 12:42:28 AM,Success
D03715,Latitude 7480,1470BH2,lig06001,2/10/2020 9:08:36 AM,Success
D02804,Optiplex 7040,286FXG2,srg02005,1/25/2020 2:04:22 AM,Success
D01323,Latitude E7470,DYL5Q72,mag02037,2/11/2020 12:02:25 AM,Success
C06288,Surface Book,031541774254,,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D03718,Latitude 7480,HNX9BH2,,2/11/2020 12:44:09 AM,Success
D01328,Latitude 7470,5SL5Q72,mgg15002,2/9/2020 5:24:08 PM,Success
D03946,Optiplex 7050,4BV2JL2,grg02001,10/6/2019 1:00:13 PM,Success
D01304,Optiplex 7040,6C05GB2,jah04007,2/4/2020 1:04:02 PM,Success
D03930,Latitude 7480,DMKMMH2,elh10004,2/10/2020 9:05:33 PM,Success
D02808,Optiplex 7040,287CXG2,kaa02005,2/6/2020 9:35:12 PM,Success
D01299,Optiplex 7040,6C00GB2,jeh02012,1/30/2020 4:38:48 AM,Success
D01300,Optiplex 7040,6C01GB2,roh02002,2/7/2020 1:41:44 AM,Success
D02801,Optiplex 7040,285RXG2,joh05001,2/6/2020 10:03:34 AM,Success
C05806,Macbook Pro A1706,C02VG113HV2M,yih07002,2/10/2020 5:03:52 PM,Success
D02811,Optiplex 7040,287PXG2,rih02002,2/5/2020 2:20:24 PM,Success
D02859,Optiplex 7040,BFX4CH2,dhj16102,2/3/2020 6:18:31 AM,Success
D02813,Latitude 7480,397XRF2,mmj02003,2/5/2020 8:06:35 AM,Success
D01321,Optiplex 7040,84N6Q72,jgj02001,2/3/2020 6:07:46 AM,Success
C03180,Macbook Pro A1706,,lab10002,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D02802,Optiplex 7040,286CXG2,jik02004,2/6/2020 1:18:08 PM,Success
D01297,Optiplex 7040,6BZYFB2,glk02001,2/6/2020 4:45:02 AM,Success
D04164,Latitude 7480,3Q516M2,rbk02002,1/17/2020 2:32:03 PM,Success
D01318,Optiplex 7040,7VJYFB2,jak02015,2/6/2020 4:22:48 PM,Success
D03943,Optiplex 7050,4BT6JL2,bok12001,10/8/2019 7:25:06 PM,Success
D02798,Optiplex 7040,285FXG2,dal14020,2/6/2020 11:52:12 PM,Success
D03939,Optiplex 7050,4BT2JL2,mel02007,10/4/2019 11:20:56 AM,Success
D03928,Latitude 7480,28DMMH2,anm05015,2/10/2020 12:33:43 PM,Success
D04218,Optiplex 7050,2Z97CM2,som14002,10/7/2019 7:16:54 PM,Success
W57826,Optiplex 9010,361PPW1,mcd04005,2/9/2020 6:21:24 PM,Success
D04165,Latitude 7480,H68W5M2,tfm08002,2/8/2020 8:44:50 PM,Success
D02807,Optiplex 7040,,,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D01319,Latitude E7470,DPM7Q72,jem02019,2/10/2020 3:44:57 PM,Success
D02816,Latitude E7470,8DSXRF2,enm10002,2/10/2020 9:38:21 PM,Success
